ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10001,68,1,7,4,9,9,1
10002,49,1,7,4,0,0,1
10003,31,1,7,4,1,9,1
10003,20,2,7,2,8,8,2
10004,40,1,7,4,1,9,1
10005,24,1,3,4,0,0,1
10005,60,1,3,0,0,0,1
10006,64,1,7,4,0,0,1
10006,17,1,3,0,8,8,2
10007,80,1,3,4,8,8,1
10007,80,1,3,0,8,8,2
10008,999,9,99,0,9,9,1
10009,35,1,3,4,9,9,1
10010,80,2,3,4,0,0,1
10010,64,1,7,3,0,0,1
10011,17,1,3,0,0,0,1
10011,42,2,7,4,0,0,1
10012,23,2,3,9,9,9,1
10012,32,2,3,0,0,0,1
10012,54,2,3,0,8,8,2
10012,27,2,7,0,8,8,2
10012,58,2,7,0,8,8,2
10012,27,2,7,4,9,9,1
10013,55,1,7,4,0,0,1
10014,18,1,7,4,0,0,1
10015,33,1,7,4,9,9,1
10016,60,1,3,0,0,0,1
10016,79,1,3,4,0,0,1
10017,86,1,3,4,0,0,1
10018,46,1,7,3,1,1,1
10018,34,1,7,4,8,8,2
10019,21,1,7,4,0,0,1
10020,80,2,3,3,0,0,1
10020,90,1,3,4,8,8,2
10020,50,1,3,3,0,0,1
10021,66,1,3,3,0,0,1
10021,85,1,3,4,8,8,2
10021,70,1,3,3,0,0,1
10021,67,1,3,3,8,8,2
10022,62,1,7,4,0,0,1
10022,66,1,99,3,8,8,2
10023,27,1,3,4,1,0,1
10024,35,1,7,4,9,9,1
10025,26,1,3,4,1,9,1
10025,28,1,3,4,8,8,2
10026,56,1,99,4,9,9,1
10027,69,2,3,4,0,0,1
10027,25,1,3,0,0,0,1
10027,998,2,11,0,8,8,2
10028,36,2,3,4,1,9,1
10029,24,1,7,4,0,0,1
10030,36,1,7,4,0,9,1
10030,50,1,7,4,8,8,2
10030,21,2,7,4,8,8,2
10030,23,2,7,4,8,8,2
10030,37,2,7,4,0,0,1
10031,51,2,3,0,0,0,1
10032,27,1,7,4,1,9,1
10033,35,1,7,4,9,9,1
10033,44,1,7,4,8,8,2
10034,38,1,7,3,1,1,1
10034,50,2,3,3,0,0,1
10034,78,1,3,3,8,8,2
